Paper,Community of Focus,Citation,Code
A61,Blind and/or Visual Impaired,workarounds : The workarounds participants use for man pages were diverse depending on their background. P1.1 mentioned having to write their own script to render man pages in a browser while P1.3 mentioned they never use man pages and rely only on web-based documentation,Develop their own solutions
A65,Blind and/or Visual Impaired,"Developers had to run the application on their personal devices, which was time consuming in the initial stages of the project (...) They had to either ask friends and family for their devices or hope that the UI they had developed would be displayed correctly on devices with varying screen resolutions and dimensions:",Non-Impaired Help
A65,Blind and/or Visual Impaired,"For programmers with visual impairments, a common workaround is switching to plaintext editors [9], [10], [12] in conjunction with command-line interfaces (CLIs) for installation, debugging, and version control [18]",Tool Exchange or Special Configuration
A65,Blind and/or Visual Impaired,"Poor accessibility would hinder developers from navigating and searching the DOM. To work around this, they had to either try different browser and screen reader combinations or get sighted assistance",Non-Impaired Help
A65,Blind and/or Visual Impaired,"artifacts such as wireframes and design specifications lack text descriptions or are inaccessible with screen readers, requiring clarification about colors, pixel values, etc., with sighted team members",Non-Impaired Help
A65,Blind and/or Visual Impaired,"Unable to use the application fully, he could not build sufficient context about the project. He shared that he had to attend multiple meetings with the design team and his manager to understand the UI design and functionality expected from controls he could not access",Non-Impaired Help
A65,Blind and/or Visual Impaired,"Poor accessibility would hinder developers from navigating and searching the DOM. To work around this, they had to either try different browser and screen reader combinations or get sighted assistance",Tool Exchange or Special Configuration
A65,Blind and/or Visual Impaired,Sharing debugging and accessibility experiences allowed the developers to work around the lack of documentation and identify the platform and screen reader combinations on which their UIs would work,Sharing Among Impaired Professionals
A65,Blind and/or Visual Impaired,The mailing list members shared components they had made accessible and compliant through trial and error so that others could refer to them,Sharing Among Impaired Professionals
A279,Blind and/or Visual Impaired,One participant had memorized pantone colors from when he could still depend on his residual sight.,Adapt work dinamics
A312,Blind and/or Visual Impaired,"Commenting is an important technique, especially when a project involves other programmers. In this work, most participants (n = 16) used commenting, not in the traditional manner (to make source code readable or document how a certain function works), but rather to overcome navigation barriers.",Adapt work dinamics
A379,Other - Deaf-Blind,paper cards with premade short statements in Braille.   collaboration while mobile is restricted to either a  conversation partners who can finger spell into his hand,Adapt work dinamics
A145,Blind and/or Visual Impaired,That comparison tool is 100% inaccessible with screen readers so I have to configure my own code review tool in visual studio,Tool Exchange or Special Configuration
A146,Blind and/or Visual Impaired,"They have to constantly request that their sighted colleagues speak code locations, such as line numbers, functions, fle names, etc., out loud, in order to stay in sync.",Non-Impaired Help
A146,Blind and/or Visual Impaired,"Sometimes, they even hand of their computer’s control to sighted colleagues in refactoring and debugging tasks, which reduces their own agency.",Non-Impaired Help
A463,Blind and/or Visual Impaired,"Nonetheless, our participants found unique workarounds to circumvent the challenges. For example, in synchronous programming, participants and their colleagues used communication software to do a remote screen share and inform each other of their whereabouts in the codebase by announcing line numbers",Adapt work dinamics
A147,Blind and/or Visual Impaired,"For example, syntax highlighting, code autocompletion and autosuggestion, diagnostics and linting, variable watches and breakpoints are underutilized even among experiencedBlind and/or Visual Impaired programmers, and manyBlind and/or Visual Impaired developers are still working manually with simple text like Notepad, along with runtime and compile terminals [1, 2, 9].",Tool Exchange or Special Configuration
A147,Blind and/or Visual Impaired,"Although there is a community ofBlind and/or Visual Impaired programmers called Program-L [8] whereBlind and/or Visual Impaired programmers help and support each other, IDEs remain a daunting barrier forBlind and/or Visual Impaired people.",Sharing Among Impaired Professionals
A214,Blind and/or Visual Impaired,"Participant P16 uses a text editor to overcome the complexity of IDEs ”I have met the challenges by using a text editor to write code, attempting to run the code, and continuing to edit and revise until I achieve the result I want.” (Participant 16)",Tool Exchange or Special Configuration
A463,Blind and/or Visual Impaired,Programmers with visual impairments and their sighted colleagues co-create new work practices in order to collaborate efectively,Adapt work dinamics
A241,Blind and/or Visual Impaired,"As a result, many participants turn to using text editors with simpler interface layouts as a replacement or in conjunction with IDEs to overcome some of the accessibility barriers.",Tool Exchange or Special Configuration
A241,Blind and/or Visual Impaired,P9 likes the Python programming language because the code can be written and run using the command line rather than using an IDE,Tool Exchange or Special Configuration
A269,Blind and/or Visual Impaired,"Common workarounds include (a) using plain text editors (e.g., Notepad, Notepad++) with basic features [15, 45] that are more accessible with screen readers and (b) searching for external plug-ins that can make an IDE more accessible [47].",Tool Exchange or Special Configuration
A269,Blind and/or Visual Impaired,"Sometimes, BLV programmers use plain text editors as a secondary bufer to record errors, bugs, and variable locations for easier navigation and bookmarking [15].",Tool Exchange or Special Configuration
A269,Blind and/or Visual Impaired,"Instead of going line-by-line, BLV programmers often use the search feature to look up information.",Tool Exchange or Special Configuration
A269,Blind and/or Visual Impaired,Another workaround is to force the screen readers to read out the gist of a statement,Tool Exchange or Special Configuration
A269,Blind and/or Visual Impaired,"Common workarounds include (a) using plain text editors (e.g., Notepad, Notepad++) with basic features [15, 45] that are more accessible with screen readers and (b) searching for external plug-ins that can make an IDE more accessible [47].",Tool Exchange or Special Configuration
A279,Blind and/or Visual Impaired,"Two developers kept a CSS file on hand, created by sighted designers that would provide the formatting required for a sighted audience.",Non-Impaired Help
A279,Blind and/or Visual Impaired,Separation from style and substance of web pages appeared to be a common theme arising from the interviews.,Tool Exchange or Special Configuration
A279,Blind and/or Visual Impaired,"While the participants wanted to perform tasks independently, some asked sighted colleagues to double-check the visual appearance of the site, just to ensure that content was appropriately displayed.",Non-Impaired Help
A279,Blind and/or Visual Impaired,One participant who developed content management systems favored the use of Drupal templates for layout.,Tool Exchange or Special Configuration
A279,Blind and/or Visual Impaired,"To gain an overview of layout, one participant mentioned using the Screen Layout mode in JAWS, enabling him to explore the objects present.",Tool Exchange or Special Configuration
A279,Blind and/or Visual Impaired,"However, for sites tailored toBlind and/or Visual Impaired audiences, it appeared that the majority preferred to develop content without assistance from sighted peers, utilizing commands such as the Simple Layout function in JAWS, enabling the user to identify table-based content present on the page",Tool Exchange or Special Configuration
A464,Neurodivergent people,Strategies like note-taking were used to compensate for working memory difficulties,Adapt work dinamics
A305,Motor/physical impairment,"All participants reported that they use additional tools (e.g. an eye tracker, keyboard, etc.) in conjunction with speech interaction to help overcome navigational barriers",Tool Exchange or Special Configuration
A312,Blind and/or Visual Impaired,"Although most participants (n = 16) tended to avoid seeking help from sighted co-workers, others (n = 10) found it necessary. For example, P25 seeks sighted help to get an overview of the entire codebase when a new implementation takes place. This helps reduce the amount of time a blind programmer takes to get an overview of the entire implementation. P7 agreed that requesting sighted help is understandable since blind programmers are unable to simply glance at codebase due to the linear nature of the screen reader: “Reviewing another programmer’s code with a screen reader takes longer than someone who is not blind, I seek help sometimes  to get [a] quick overview of the new implementation.” (P7)",Non-Impaired Help
A312,Blind and/or Visual Impaired,Simple Editors: As discussed above most participants (n = 26) indicated that they rely on simple editors to write software code,Tool Exchange or Special Configuration
A312,Blind and/or Visual Impaired,"To overcome this problem, several participants (n = 9) indicated that they use shortcut keys as a navigation strategy.",Tool Exchange or Special Configuration
A61,Blind and/or Visual Impaired,common workaround was to try to memorize the column names and hypothesize which column an element belongs to as they parse the table linearly.,Adapt work dinamics
A312,Blind and/or Visual Impaired,"In this work, most participants (n = 19) modified screen reader settings to match their own personal needs. Others (n = 9) wrote custom scripts to overcome many issues including programming difficulties.
P3 explained a similar approach: “Instead of listening to my own screen reader telling me all the spaces separately. I wrote [a] script to give me the level of indentation in my code.” (P3)",Develop their own solutions
A375,Blind and/or Visual Impaired,"To circumvent these barriers, some look for an intimate community where one can feel comfortable asking tough technical questions that are bespoke to a marginalized experience",Sharing Among Impaired Professionals
A375,Blind and/or Visual Impaired,"[2] Program-L provides connection, meaning, and safety for its members to meet one another, share technical knowledge, and ask for and receive help from one another. Most of the discussions found within are centered on the day-to-day lived experiences and needs of BLV computer users and programmers. This improves the value of the discussions here due to the members’ specialized knowledge and implicitly understood context that all questions relate to BLV programming issues.",Sharing Among Impaired Professionals
A65,Blind and/or Visual Impaired,P3 also shared that he occasionally recorded his screen while operating the UI to capture the workflow and do “non-live demo” and independent presentation (P3).,Adapt work dinamics
A65,Blind and/or Visual Impaired,"P9 shared that he had instructed his team to provide meaningful names to the UI controls to make collaboration on UI code easier. After laying out the controls, his sighted colleagues would edit the variable names in the resource file.",Adapt work dinamics
A65,Blind and/or Visual Impaired,"Therefore, when presenting the UI to an external audience, participants generally had a sighted team member “click on buttons for fill these forms for me” (P16) while they handled the technical narration. The approach allowed them to present and highlight their contributions.",Non-Impaired Help
